ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_abstract_keyword_overlap,max_title_overlap,doi_direct_hit,avg_citation_count,median_year,cs_engineering_ratio,open_access_ratio
sbeo.ttl,"""SBEO: Smart Building Evacuation Ontology"" ontology",1,1.0,0.0485,1.0,False,9,2022,0.0,1.0
sd.ttl,"""Sensor Data ontology"" ontology",3,0.0606,0.036,0.1818,False,22.7,2010,0.0,0.0
seas.ttl,"""SEAS Ontology"" ontology",2,0.15,0.0175,0.1667,False,19.5,2019,0.0,0.5
sml.ttl,"""https://w3id.org/sml/2/owl/def""",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
sosa.ttl,"""Sensor, Observation, Sample, and Actuator (SOSA) Ontology"" ontology",8,0.1658,0.0507,0.5833,False,95.5,2019,0.0,0.75
ssn.ttl,"""Semantic Sensor Network Ontology"" ontology",7,0.3581,0.0435,0.6667,False,75.4,2012,0.0,0.5714
stg.ttl,"""STG: Scan-to-Graph"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
tempo.ttl,"""Data Template Ontology (TempO)"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-actor.ttl,"""01 Actor and Preference Ontology"" built environment",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-building.ttl,th building ontology,0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-energy.ttl,"""5 Home Automation Ontology"" built environment",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-process.ttl,"""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/ProcessOntology.owl""",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-sharedvoc.ttl,"""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/BuildingOntologySharedVocabulary.owl""",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-weather.ttl,"""smart home ontology"" built environment",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
unocs.ttl,"""Digital Construction Agents"" ontology",1,0.1111,0.0153,0.1111,False,5,2025,0.0,1.0
weat.ttl,"""BIMERR Weather Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
wgs84.ttl,"""nf866c0880493489d9603fa2c86e43f39b1""",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
